id,topic,difficulty,question,reference_solution,student_answer
26,integrals_power,easy,Compute ∫ 2x dx.,∫2x dx = x^2 + C.,2x^2 + C
27,derivatives_power,easy,Differentiate f(x)=x^7.,"Using the power rule, f'(x)=7x^6.",x^6
28,integrals_log,hard,Compute ∫ 1/(x-1) dx.,∫1/(x-1) dx = ln|x-1| + C.,ln(x-1)
29,derivatives_power,easy,Differentiate f(x)=x^7.,"Using the power rule, f'(x)=7x^6.",7x^6
30,derivatives_exp,easy,Differentiate f(x)=e^x.,f'(x)=e^x.,0
31,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,Does not exist
32,integrals_power,medium,Compute ∫ x^3 dx.,∫x^3 dx = x^4/4 + C.,x^4/4 + C
33,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,x^2*sin(x)
34,integrals_log,medium,Compute ∫ 1/x dx.,∫1/x dx = ln|x| + C.,ln|x|
35,limits_trig,easy,Find lim_{x→0} sin(x)/x.,The limit is 1.,0
36,integrals_trig,medium,Compute ∫ sin(x) dx.,∫sin(x) dx = -cos(x) + C.,-cos(x) + C
37,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",7x^7
38,derivatives_power,easy,Differentiate f(x)=x^2.,"Using the power rule, f'(x)=2x^1.",I don't know.
39,derivatives_trig,easy,Differentiate f(x)=sin(x).,f'(x)=cos(x).,I forgot.
40,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",9x^9
41,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",x^7
42,limits_piecewise,medium,Find lim_{x→0} |x|/x.,"Left limit -1 and right limit 1, so the limit does not exist.",Does not exist
43,limits_trig,hard,Find lim_{x→0} (1-cos x)/x^2.,The limit is 1/2.,1/2
44,derivatives_trig,easy,Differentiate f(x)=sin(x).,f'(x)=cos(x).,I forgot.
45,integrals_power,medium,Compute ∫ x^3 dx.,∫x^3 dx = x^4/4 + C.,x^4 + C
46,derivatives_log,medium,Differentiate f(x)=ln(x).,f'(x)=1/x (for x>0).,ln(x)
47,limits_rational,medium,Find lim_{x→2} (x^2-4)/(x-2).,"Factor: (x^2-4)=(x-2)(x+2), so limit = 4.",x+2
48,derivatives_chain,medium,Differentiate f(x)=sin(3x).,By chain rule: f'(x)=3cos(3x).,3cos(3x)
49,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",9x^9
50,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",10x^9
51,derivatives_product,hard,Differentiate f(x)=x·e^x.,Product rule: f'(x)=e^x(1+x).,e^x(1+x)
52,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",10x^10
53,derivatives_product,hard,Differentiate f(x)=x·e^x.,Product rule: f'(x)=e^x(1+x).,e^x
54,limits_trig,hard,Find lim_{x→0} (1-cos x)/x^2.,The limit is 1/2.,Does not exist
55,derivatives_log,medium,Differentiate f(x)=ln(x).,f'(x)=1/x (for x>0).,ln(x)
56,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",8x^8
57,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,e
58,derivatives_chain,hard,Differentiate f(x)=(2x+1)^5.,By chain rule: f'(x)=10(2x+1)^4.,10(2x+1)^5
59,derivatives_power,easy,Differentiate f(x)=x^4.,"Using the power rule, f'(x)=4x^3.",x^3
60,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",3x^2
61,derivatives_power,easy,Differentiate f(x)=x^4.,"Using the power rule, f'(x)=4x^3.",3x^3
62,integrals_power,easy,Compute ∫ 2x dx.,∫2x dx = x^2 + C.,x + C
63,integrals_trig,medium,Compute ∫ sin(x) dx.,∫sin(x) dx = -cos(x) + C.,sin(x) + C
64,derivatives_log,medium,Differentiate f(x)=ln(x).,f'(x)=1/x (for x>0).,0
65,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",3x^3
66,derivatives_exp,easy,Differentiate f(x)=e^x.,f'(x)=e^x.,0
67,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,e
68,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,2x*sin(x)
69,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,1
70,limits_trig,easy,Find lim_{x→0} sin(x)/x.,The limit is 1.,∞
71,derivatives_power,easy,Differentiate f(x)=x^2.,"Using the power rule, f'(x)=2x^1.",x^1
72,integrals_log,hard,Compute ∫ 1/(x-1) dx.,∫1/(x-1) dx = ln|x-1| + C.,1/(x-1) + C
73,integrals_log,medium,Compute ∫ 1/x dx.,∫1/x dx = ln|x| + C.,ln|x|
74,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,x^2*cos(x)
75,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",9x^9
76,integrals_power,medium,Compute ∫ x^3 dx.,∫x^3 dx = x^4/4 + C.,x^4/4
77,derivatives_power,easy,Differentiate f(x)=x^4.,"Using the power rule, f'(x)=4x^3.",3x^3
78,derivatives_log,hard,Differentiate f(x)=ln|x|.,f'(x)=1/x for x≠0.,1/|x|
79,derivatives_log,hard,Differentiate f(x)=ln|x|.,f'(x)=1/x for x≠0.,ln|x|
80,limits_piecewise,medium,Find lim_{x→0} |x|/x.,"Left limit -1 and right limit 1, so the limit does not exist.",-1
81,limits_trig,hard,Find lim_{x→0} (1-cos x)/x^2.,The limit is 1/2.,1/2
82,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",10x^10
83,derivatives_chain,hard,Differentiate f(x)=(2x+1)^5.,By chain rule: f'(x)=10(2x+1)^4.,5(2x+1)^4
84,derivatives_power,easy,Differentiate f(x)=x^7.,"Using the power rule, f'(x)=7x^6.",7x^7
85,limits_rational,medium,Find lim_{x→2} (x^2-4)/(x-2).,"Factor: (x^2-4)=(x-2)(x+2), so limit = 4.",x+2
86,limits_trig,easy,Find lim_{x→0} sin(x)/x.,The limit is 1.,I don't know
87,derivatives_trig,easy,Differentiate f(x)=sin(x).,f'(x)=cos(x).,sin(x)
88,integrals_power,medium,Compute ∫ x^3 dx.,∫x^3 dx = x^4/4 + C.,x^4/4 + C
89,integrals_power,easy,Compute ∫ 2x dx.,∫2x dx = x^2 + C.,2x^2 + C
90,derivatives_power,easy,Differentiate f(x)=x^5.,"Using the power rule, f'(x)=5x^4.",I don't know.
91,integrals_trig,easy,Compute ∫ cos(x) dx.,∫cos(x) dx = sin(x) + C.,cos(x) + C
92,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,x^2*cos(x)
93,integrals_trig,medium,Compute ∫ sin(x) dx.,∫sin(x) dx = -cos(x) + C.,-cos(x)
94,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,2x*sin(x)
95,derivatives_power,easy,Differentiate f(x)=x^2.,"Using the power rule, f'(x)=2x^1.",2x^1
96,derivatives_trig,easy,Differentiate f(x)=cos(x).,f'(x)=-sin(x).,-sin(x)
97,derivatives_power,easy,Differentiate f(x)=x^2.,"Using the power rule, f'(x)=2x^1.",2x^2
98,limits_rational,medium,Find lim_{x→2} (x^2-4)/(x-2).,"Factor: (x^2-4)=(x-2)(x+2), so limit = 4.",2
99,limits_trig,hard,Find lim_{x→0} (1-cos x)/x^2.,The limit is 1/2.,1/2
100,integrals_exp,easy,Compute ∫ e^x dx.,∫e^x dx = e^x + C.,e^(x-1) + C
101,derivatives_trig,easy,Differentiate f(x)=sin(x).,f'(x)=cos(x).,0
102,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",3x^3
103,limits_trig,hard,Find lim_{x→0} (1-cos x)/x^2.,The limit is 1/2.,1/2
104,limits_piecewise,medium,Find lim_{x→0} |x|/x.,"Left limit -1 and right limit 1, so the limit does not exist.",1
105,derivatives_power,easy,Differentiate f(x)=x^4.,"Using the power rule, f'(x)=4x^3.",4x^3
106,derivatives_chain,medium,Differentiate f(x)=sin(3x).,By chain rule: f'(x)=3cos(3x).,cos(x)
107,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",2x^2
108,integrals_trig,easy,Compute ∫ cos(x) dx.,∫cos(x) dx = sin(x) + C.,cos(x) + C
109,integrals_trig,easy,Compute ∫ cos(x) dx.,∫cos(x) dx = sin(x) + C.,cos(x) + C
110,derivatives_power,easy,Differentiate f(x)=x^5.,"Using the power rule, f'(x)=5x^4.",x^4
111,derivatives_chain,medium,Differentiate f(x)=sin(3x).,By chain rule: f'(x)=3cos(3x).,3sin(3x)
112,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,2x*cos(x)
113,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",9x^9
114,limits_trig,hard,Find lim_{x→0} (1-cos x)/x^2.,The limit is 1/2.,1/2
115,derivatives_log,medium,Differentiate f(x)=ln(x).,f'(x)=1/x (for x>0).,0
116,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",x^7
117,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,x^2*cos(x)
118,integrals_log,hard,Compute ∫ 1/(x-1) dx.,∫1/(x-1) dx = ln|x-1| + C.,ln(x-1)
119,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",8x^7
120,derivatives_trig,easy,Differentiate f(x)=sin(x).,f'(x)=cos(x).,0
121,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,e
122,integrals_power,medium,Compute ∫ x^3 dx.,∫x^3 dx = x^4/4 + C.,x^4 + C
123,derivatives_log,hard,Differentiate f(x)=ln|x|.,f'(x)=1/x for x≠0.,1/|x|
124,derivatives_chain,hard,Differentiate f(x)=(2x+1)^5.,By chain rule: f'(x)=10(2x+1)^4.,(2x+1)^4
125,derivatives_power,easy,Differentiate f(x)=x^5.,"Using the power rule, f'(x)=5x^4.",5x^4
126,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",7x^7
127,derivatives_trig,easy,Differentiate f(x)=cos(x).,f'(x)=-sin(x).,cos(x)
128,derivatives_product,hard,Differentiate f(x)=x·e^x.,Product rule: f'(x)=e^x(1+x).,e^x
129,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",7x^7
130,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",8x^8
131,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",2x^2
132,integrals_power,easy,Compute ∫ 2x dx.,∫2x dx = x^2 + C.,x + C
133,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",7x^7
134,limits_rational,medium,Find lim_{x→2} (x^2-4)/(x-2).,"Factor: (x^2-4)=(x-2)(x+2), so limit = 4.",4
135,limits_trig,easy,Find lim_{x→0} sin(x)/x.,The limit is 1.,∞
136,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",2x^2
137,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",I don't know.
138,integrals_log,medium,Compute ∫ 1/x dx.,∫1/x dx = ln|x| + C.,ln|x| + C
139,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",x^7
140,derivatives_power,easy,Differentiate f(x)=x^5.,"Using the power rule, f'(x)=5x^4.",x^4
141,limits_rational,medium,Find lim_{x→2} (x^2-4)/(x-2).,"Factor: (x^2-4)=(x-2)(x+2), so limit = 4.",2
142,derivatives_product,hard,Differentiate f(x)=x·e^x.,Product rule: f'(x)=e^x(1+x).,e^x + x e^x
143,derivatives_chain,medium,Differentiate f(x)=sin(3x).,By chain rule: f'(x)=3cos(3x).,3sin(3x)
144,integrals_trig,medium,Compute ∫ sin(x) dx.,∫sin(x) dx = -cos(x) + C.,cos(x) + C
145,integrals_exp,easy,Compute ∫ e^x dx.,∫e^x dx = e^x + C.,e^x + C
146,derivatives_power,easy,Differentiate f(x)=x^7.,"Using the power rule, f'(x)=7x^6.",6x^6
147,derivatives_power,easy,Differentiate f(x)=x^4.,"Using the power rule, f'(x)=4x^3.",4x^4
148,derivatives_log,hard,Differentiate f(x)=ln|x|.,f'(x)=1/x for x≠0.,1/x
149,derivatives_log,medium,Differentiate f(x)=ln(x).,f'(x)=1/x (for x>0).,0
150,derivatives_chain,medium,Differentiate f(x)=sin(3x).,By chain rule: f'(x)=3cos(3x).,cos(3x)
151,integrals_log,hard,Compute ∫ 1/(x-1) dx.,∫1/(x-1) dx = ln|x-1| + C.,ln(x-1)
152,integrals_log,medium,Compute ∫ 1/x dx.,∫1/x dx = ln|x| + C.,ln(x) + C
153,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,Does not exist
154,derivatives_power,easy,Differentiate f(x)=x^4.,"Using the power rule, f'(x)=4x^3.",4x^4
155,derivatives_log,medium,Differentiate f(x)=ln(x).,f'(x)=1/x (for x>0).,x
156,derivatives_trig,easy,Differentiate f(x)=cos(x).,f'(x)=-sin(x).,cos(x)
157,limits_trig,easy,Find lim_{x→0} sin(x)/x.,The limit is 1.,∞
158,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",x^9
159,derivatives_power,easy,Differentiate f(x)=x^7.,"Using the power rule, f'(x)=7x^6.",6x^6
160,derivatives_log,hard,Differentiate f(x)=ln|x|.,f'(x)=1/x for x≠0.,ln|x|
161,derivatives_log,medium,Differentiate f(x)=ln(x).,f'(x)=1/x (for x>0).,0
162,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",I don't know.
163,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",x^9
164,limits_rational,medium,Find lim_{x→2} (x^2-4)/(x-2).,"Factor: (x^2-4)=(x-2)(x+2), so limit = 4.",0
165,derivatives_log,hard,Differentiate f(x)=ln|x|.,f'(x)=1/x for x≠0.,-1/x
166,limits_trig,easy,Find lim_{x→0} sin(x)/x.,The limit is 1.,∞
167,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,2x*cos(x)
168,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",x^2
169,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,e
170,limits_trig,easy,Find lim_{x→0} sin(x)/x.,The limit is 1.,1
171,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,1
172,limits_rational,medium,Find lim_{x→2} (x^2-4)/(x-2).,"Factor: (x^2-4)=(x-2)(x+2), so limit = 4.",0
173,limits_trig,easy,Find lim_{x→0} sin(x)/x.,The limit is 1.,Does not exist
174,derivatives_power,easy,Differentiate f(x)=x^7.,"Using the power rule, f'(x)=7x^6.",7x^6
175,derivatives_chain,medium,Differentiate f(x)=sin(3x).,By chain rule: f'(x)=3cos(3x).,cos(x)
176,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",x^7
177,derivatives_log,medium,Differentiate f(x)=ln(x).,f'(x)=1/x (for x>0).,x
178,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",3x^3
179,derivatives_exp,easy,Differentiate f(x)=e^x.,f'(x)=e^x.,0
180,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,Does not exist
181,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",9x^9
182,integrals_trig,medium,Compute ∫ sin(x) dx.,∫sin(x) dx = -cos(x) + C.,cos(x) + C
183,derivatives_log,hard,Differentiate f(x)=ln|x|.,f'(x)=1/x for x≠0.,ln|x|
184,derivatives_log,medium,Differentiate f(x)=ln(x).,f'(x)=1/x (for x>0).,0
185,limits_piecewise,medium,Find lim_{x→0} |x|/x.,"Left limit -1 and right limit 1, so the limit does not exist.",-1
186,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,e
187,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,x^2*sin(x)
188,integrals_log,hard,Compute ∫ 1/(x-1) dx.,∫1/(x-1) dx = ln|x-1| + C.,ln|x| + C
189,derivatives_power,easy,Differentiate f(x)=x^5.,"Using the power rule, f'(x)=5x^4.",I don't know.
190,derivatives_trig,easy,Differentiate f(x)=sin(x).,f'(x)=cos(x).,sin(x)
191,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,1
192,derivatives_product,hard,Differentiate f(x)=x·e^x.,Product rule: f'(x)=e^x(1+x).,xe^x
193,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,x^2*cos(x)
194,integrals_trig,easy,Compute ∫ cos(x) dx.,∫cos(x) dx = sin(x) + C.,sin(x)
195,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",3x^3
196,derivatives_product,hard,Differentiate f(x)=x·e^x.,Product rule: f'(x)=e^x(1+x).,e^x
197,derivatives_chain,hard,Differentiate f(x)=(2x+1)^5.,By chain rule: f'(x)=10(2x+1)^4.,5(2x+1)^4
198,limits_trig,easy,Find lim_{x→0} sin(x)/x.,The limit is 1.,Does not exist
199,derivatives_power,easy,Differentiate f(x)=x^5.,"Using the power rule, f'(x)=5x^4.",I don't know.
200,limits_piecewise,medium,Find lim_{x→0} |x|/x.,"Left limit -1 and right limit 1, so the limit does not exist.",0
